Category,Level1,Level3,Level2,Level4,Year,Total
2. ЗАТРАТЫ,"10. Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения","9. Прочие услуги в области сельского, водного, лесного, рыбного хозяйства, охраны окружающей среды и земельных отношений",212. Министерство сельского хозяйства Республики Казахстан,207. Разработка и внедрение информационной системы по мониторингу биоразнообразия в пилотных особо охраняемых природных,2012,52,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность",1. Промышленность,231. Министерство нефти и газа Республики Казахстан,"22. Услуги по привлечению инвестиций, функционированию и развитию специальной экономической зоны «Национальный индустриальный нефтехимический технопарк»",2012,54,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность",1. Промышленность,231. Министерство нефти и газа Республики Казахстан,64. Строительство инфраструктуры и ограждений территорий специальной экономической зоны «Национальный индустриальный нефтехимический технопарк» в Атырауской области,2012,3,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность",1. Промышленность,233. Министерство индустрии и новых технологий Республики Казахстан,6. Прикладные научные исследования технологического характера,2012,2485,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность",1. Промышленность,697. Агентство Республики Казахстан по атомной энергии,3. Прикладные научные исследования,2012,538,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","2. Архитектурная, градостроительная и строительная деятельность",619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,"3. Совершенствование нормативно-технических документов в сфере архитектурной, градостроительной и строительной деятельности",2012,7199,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","2. Архитектурная, градостроительная и строительная деятельность",619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,21. Прикладные научные исследования в области строительства,2012,50,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","2. Архитектурная, градостроительная и строительная деятельность",619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,22. Целевые текущие трансферты бюджету города Астаны на разработку комплексной схемы градостроительного планирования территории,2012,486,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","9. Прочие услуги в сфере промышленности, архитектурной, градостроительной и строительной деятельности",233. Министерство индустрии и новых технологий Республики Казахстан,8. Обеспечение хранения информации,2012,364,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","9. Прочие услуги в сфере промышленности, архитектурной, градостроительной и строительной деятельности",233. Министерство индустрии и новых технологий Республики Казахстан,"11. Поддержка создания новых, модернизация и оздоровление действующих производств в рамках направления «Производительность-2020»",2012,133,
2. ЗАТРАТЫ,"11. Промышленность, архитектурная, градостроительная и строительная деятельность","9. Прочие услуги в сфере промышленности, архитектурной, градостроительной и строительной деятельности",233. Министерство индустрии и новых технологий Республики Казахстан,"15. Целевые трансферты на развитие областным бюджетам, бюджетам городов Астаны и Алматы для развития индустриально-инновационной инфраструктуры в рамках направления «Инвестор - 2020»",2012,1032,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,1. Автомобильный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,2. Развитие автомобильных дорог на республиканском уровне,2012,172528,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,1. Автомобильный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,"3. Капитальный, средний и текущий ремонт, содержание, озеленение, диагностика и инструментальное обследование автодорог республиканского значения",2012,26997,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,1. Автомобильный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,"12. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на капитальный и средний ремонт автомобильных дорог областного, районного значения и улиц населенных пунктов",2012,19412,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,1. Автомобильный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,16. Обеспечение качества выполнения дорожно-строительных и ремонтных работ,2012,340,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,1. Автомобильный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,"28. Целевые трансферты на развитие областным бюджетам, бюджетам городов Астаны и Алматы на развитие транспортной инфраструктуры",2012,77390,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,2. Системы связи,215. Министерство транспорта и коммуникаций Республики Казахстан,29. Субсидирование убытков операторов сельской связи по предоставлению универсальных услуг связи,2012,5309,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,2. Системы связи,215. Министерство транспорта и коммуникаций Республики Казахстан,37. Услуги по обучению населения в рамках «Электронного правительства»,2012,420,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,2. Системы связи,215. Министерство транспорта и коммуникаций Республики Казахстан,38. Техническое сопровождение системы мониторинга радиочастотного спектра и радиоэлектронных средств,2012,272,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,3. Водный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,5. Обеспечение водных путей в судоходном состоянии и содержание шлюзов,2012,4800,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,3. Водный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,14. Обеспечение классификации и технической безопасности судов внутреннего водного плавания «река-море»,2012,85,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,3. Водный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,20. Строительство и реконструкция инфраструктуры водного транспорта,2012,317,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,4. Воздушный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,6. Строительство и реконструкция инфраструктуры воздушного транспорта,2012,2325,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,4. Воздушный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,19. Субсидирование регулярных внутренних авиаперевозок,2012,826,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,4. Воздушный транспорт,225. Министерство образования и науки Республики Казахстан,18. Обеспечение первоначальной подготовки пилотов,2012,213,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,5. Железнодорожный транспорт,215. Министерство транспорта и коммуникаций Республики Казахстан,9. Субсидирование железнодорожных пассажирских перевозок по социально значимым межобластным сообщениям,2012,22180,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,"1. Услуги по формированию политики, координации, контроля, развития инфраструктуры и конкурентного рынка в области транспорта, коммуникаций, связи и информатизации",2012,3821,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,10. Прикладные научные исследования в области транспорта и коммуникаций,2012,23,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,11. Капитальные расходы Министерства транспорта и коммуникаций Республики Казахстан,2012,354,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,23. Строительство и реконструкция сети постов транспортного контроля,2012,3,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,30. Содержание здания административно-технологического комплекса «Transport tower»,2012,385,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,34. Целевые текущие трансферты бюджету города Алматы на субсидирование пассажирских перевозок метрополитеном,2012,1000,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,100. Проведение мероприятий за счет чрезвычайного резерва Правительства Республики Казахстан,2012,6,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,25,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,102. Трансферты другим уровням государственного управления на проведение мероприятий за счет чрезвычайного резерва Правительства Республики Казахстан,2012,363,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,105. Разработка и экспертиза технико-экономических обоснований республиканских бюджетных инвестиционных проектов,2012,11,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,464,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,215. Министерство транспорта и коммуникаций Республики Казахстан,116. Трансферты другим уровням государственного управления на проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,26150,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,"1. Услуги по формированию политики, координации и контроля в области космической деятельности",2012,299,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,2. Прикладные научные исследования в области космической деятельности,2012,1010,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,"4. Организация утилизации, рекультивации и ремонта объектов комплекса «Байконур», не входящих в состав арендуемых Российской Федерации",2012,160,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,6. Оплата услуг банкам-агентам по обслуживанию бюджетного кредита в рамках межправительственного соглашения,2012,12,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,9. Обеспечение управления космическими аппаратами,2012,1152,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,14. Разработка технических регламентов и стандартов в области космической деятельности,2012,13,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,"15. Обеспечение сохранности объектов комплекса «Байконур», не вошедших в состав аренды Российской Федерации и исключенных из него",2012,78,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,19. Капитальные расходы Национального космического агентства Республики Казахстан,2012,34,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,20. Межгосударственная радионавигационная программа государств-участников СНГ на период до 212 года,2012,106,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,2,
2. ЗАТРАТЫ,12. Транспорт и коммуникации,9. Прочие услуги в сфере транспорта и коммуникаций,601. Национальное космическое агентство Республики Казахстан,105. Разработка и экспертиза технико-экономических обоснований республиканских бюджетных,2012,36,
2. ЗАТРАТЫ,13. Прочие,1. Регулирование экономической деятельности,220. Министерство экономического развития и торговли Республики Казахстан,49. Содействие продвижению экспорта казахстанских товаров на внешние рынки в рамках направления «Экспортер - 22»,2012,3044,
2. ЗАТРАТЫ,13. Прочие,1. Регулирование экономической деятельности,233. Министерство индустрии и новых технологий Республики Казахстан,"7. Прикладные научные исследования в области стандартизации, сертификации, метрологии и систем качества",2012,41,
2. ЗАТРАТЫ,13. Прочие,1. Регулирование экономической деятельности,233. Министерство индустрии и новых технологий Республики Казахстан,13. Услуги в сфере технического регулирования и метрологии,2012,1579,
2. ЗАТРАТЫ,13. Прочие,1. Регулирование экономической деятельности,233. Министерство индустрии и новых технологий Республики Казахстан,22. Содействие продвижению экспорта казахстанских товаров на внешние рынки в рамках направления «Экспортер - 2020»,2012,853,
2. ЗАТРАТЫ,13. Прочие,1. Регулирование экономической деятельности,233. Министерство индустрии и новых технологий Республики Казахстан,90. Исследования в области индустриально-инновационного развития Республики Казахстан,2012,331,
2. ЗАТРАТЫ,13. Прочие,2. Службы прогноза погоды,234. Министерство охраны окружающей среды Республики Казахстан,6. Ведение гидрометеорологического мониторинга,2012,4505,
2. ЗАТРАТЫ,13. Прочие,4. Регулирование естественных монополий,203. Агентство Республики Казахстан по регулированию естественных монополий,1. Услуги в области регулирования деятельности субъектов естественных монополий по обеспечению эффективного функционирования и развития инфраструктурных отраслей экономики,2012,1157,
2. ЗАТРАТЫ,13. Прочие,4. Регулирование естественных монополий,203. Агентство Республики Казахстан по регулированию естественных монополий,4. Капитальные расходы Агентства Республики Казахстан по регулированию естественных монополий,2012,64,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,202. Министерство по чрезвычайным ситуациям Республики Казахстан,13. Формирование государственного материального резерва,2012,9886,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,202. Министерство по чрезвычайным ситуациям Республики Казахстан,14. Хранение государственного материального резерва,2012,1634,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,202. Министерство по чрезвычайным ситуациям Республики Казахстан,16. Создание корпоративной информационно- коммуникационной системы чрезвычайных ситуаций и гражданской обороны,2012,842,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,217. Министерство финансов Республики Казахстан,38. Субсидирование процентной ставки вознаграждения в рамках «Программы посткризисного восстановления (оздоровление конкурентоспособных предприятий)»,2012,4767,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,217. Министерство финансов Республики Казахстан,44. Погашение простых векселей,2012,5200,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,217. Министерство финансов Республики Казахстан,58. Целевые текущие трансферты областному бюджету Западно-Казахстанской области на обеспечение компенсации потерь и экономической стабильности региона,2012,15900,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,"14. Целевые трансферты на развитие областным бюджетам, бюджетам городов Астаны и Алматы на развитие индустриальной инфраструктуры в рамках программы «Дорожная карта бизнеса - 22»",2012,16697,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,15. Оздоровление и усиление предпринимательского потенциала в рамках программы «Дорожная карта бизнеса - 22»,2012,6039,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,16. Оплата услуг оператора и финансового агента оказываемых в рамках программы «Дорожная карта бизнеса – 22»,2012,473,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,20. Услуги по оказанию консультативной помощи регионам при подготовке проектов государственно-частного партнерства для реализации проектов в социальном секторе и жилищно-коммунальном хозяйстве по механизму государственно-частного партнерства,2012,15,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,23. Целевые текущие трансферты областным бюджетам на реализацию мер по содействию экономическому развитию регионов в рамках Программы «Развитие регионов»,2012,1000,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,53. Целевые текущие трансферты областным бюджетам на решение вопросов обустройства моногородов,2012,6000,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,54. Целевые текущие трансферты областному бюджету Мангистауской области на поддержку предпринимательства в городе Жанаозен,2012,30,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,55. Целевые трансферты на развитие областным бюджетам на развитие инженерной инфраструктуры в рамках Программы «Развитие регионов»,2012,14000,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,220. Министерство экономического развития и торговли Республики Казахстан,"117. Целевые текущие трансферты областным бюджетам, бюджетам городов Астаны и Алматы на поддержку частного предпринимательства в регионах в рамках Программы «Дорожная карта бизнеса - 22»",2012,13286,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,"1. Услуги по обеспечению стандартизации, метрологии, промышленности, привлечения инвестиций, геологии, атомной энергии, топливно-энергетического комплекса и туристской индустрии",2012,4157,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,12. Оплата услуг институтов национальной инновационной системы,2012,972,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,17. Услуги по обеспечению стимулирования инновационной активности,2012,131,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,18. Услуги по сопровождению Государственной программы по форсированному индустриально-инновационному развитию,2012,197,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,20. Содействие привлечению инвестиций в Республику Казахстан в рамках направления «Инвестор - 2020»,2012,833,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,26. Предоставление инновационных грантов в рамках направления «Производительность - 2020»,2012,3478,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,"27. Услуги по привлечению инвестиций, функционированию и развитию специальной экономической зоны «Парк инновационных технологий»",2012,26,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,31. Капитальные расходы Министерства индустрии и новых технологий Республики Казахстан,2012,66,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,55. Развитие инфраструктуры специальной экономической зоны «Парк инновационных технологий»,2012,13,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,"70. Мониторинг казахстанского содержания при закупке товаров, работ и услуг",2012,428,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,52,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,104. Борьба с наркоманией и наркобизнесом,2012,2,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,3469,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,233. Министерство индустрии и новых технологий Республики Казахстан,116. Трансферты другим уровням государственного управления на проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,3362,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,502. Генеральная прокуратура Республики Казахстан,7. Создание единой информационно-аналитической системы Генеральной прокуратуры Республики Казахстан,2012,645,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,602. Агентство Республики Казахстан по защите конкуренции (Антимонопольное агентство),"1. Услуги по обеспечению защиты конкуренции, ограничению монополистической деятельности и недопущению недобросовестной конкуренции",2012,718,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,602. Агентство Республики Казахстан по защите конкуренции (Антимонопольное агентство),2. Капитальные расходы Агентства Республики Казахстан по защите конкуренции,2012,16,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,1. Услуги по координации деятельности в области строительства и жилищно-коммунального хозяйства,2012,1455,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,20. Капитальные расходы Агентства Республики Казахстан по делам строительства и жилищно- коммунального хозяйства,2012,27,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,30. Прикладные научные исследования в области жилищно-коммунального хозяйства,2012,157,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,"31. Целевые трансферты на развитие областным бюджетам, бюджетам городов Астаны и Алматы на увеличение уставных капиталов специализированных региональных организаций",2012,5000,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,102. Трансферты другим уровням государственного управления на проведение мероприятий за счет чрезвычайного резерва Правительства Республики Казахстан,2012,351,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,116. Трансферты другим уровням государственного управления на проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,11434,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,694. Управление делами Президента Республики Казахстан,8. Строительство и реконструкция объектов Управления Делами Президента Республики Казахстан,2012,7210,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,694. Управление делами Президента Республики Казахстан,22. Целевые трансферты на развитие областному бюджету Карагандинской области на строительство объектов инженерной и транспортной инфраструктуры объекта «Санаторий на побережье озера Балхаш»,2012,223,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,694. Управление делами Президента Республики Казахстан,"25. Целевые текущие трансферты областному бюджету Карагандинской области на капитальный ремонт участка подъездной автомобильной дороги к санаторию на побережье озера Балхаш, объекта «Санаторий на побережье озера Балхаш»",2012,234,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,695. Агентство Республики Казахстан по делам религий,1. Формирование государственной политики в сфере религиозной деятельности,2012,378,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,695. Агентство Республики Казахстан по делам религий,2. Капитальные расходы Агентства Республики Казахстан по делам религий,2012,22,
2. ЗАТРАТЫ,13. Прочие,9. Прочие,695. Агентство Республики Казахстан по делам религий,3. Капитальные расходы государственных организаций в сфере религиозной деятельности,2012,5,
